,year,oil_index,mineral_index,country,oil_prod,oil_ex,oil_im,oil_reim,oil_reex,mineral_ex,mineral_im,mineral_reim,mineral_reex,Administrative fees for government services,Bonuses,Compulsory transfers to government (infrastructure and other),Customs and other import duties,Delivered/paid directly to government,Delivered/paid to state-owned enterprise(s),Dividends,Emission and pollution taxes,Excise taxes,"Extraordinary taxes on income, profits and capital gains","Fines, penalties, and forfeits",From government participation (equity),From state-owned enterprises,"General taxes on goods and services (VAT, sales tax, turnover tax)",Licence fees,Motor vehicle taxes,"Ordinary taxes on income, profits and capital gains",Other rent payments,Other taxes payable by natural resource companies,Profits of natural resource export monopolies,Rent,Revenues not classified,Royalties,Sales of goods and services by government units,Social security employer contributions,Taxes on exports,Taxes on payroll and workforce,Taxes on property,Voluntary transfers to government (donations),Withdrawals from income of quasi-corporations,total_revenue,oil_prod_USD,ratio_rev_oilprod
1,2009,61.74,136.5303027,Albania,5.328767123,83219127,31438446,0,0,65044599,329099,0,0,0,211074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,874235,129954,0,0,0,0,9168449,0,0,0,0,0,0,0,10383712,120084300,0.086470188
2,2010,79.61,202.3197645,Albania,10.84383562,162736020,13047443,0,0,107608540,1449435,0,0,0,429194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4520646,217298,2681308,0,0,0,30452899,0,0,0,0,0,0,0,38301345,315096380.1,0.12155438
3,2011,111.26,229.7191412,Albania,15.51506849,314104512,20463530,0,0,109400486,2649275,0,0,0,1119702,0,0,0,34823823,0,0,0,0,0,0,0,0,0,0,10502104,0,0,0,0,0,44739160,0,0,0,0,0,0,0,91184789,630065379.9,0.144722741
4,2012,111.63,191.0341399,Albania,16.83606557,492931584,217319,0,0,104437302,10504,0,0,0,3968898,0,0,0,50973210,0,0,0,0,2080022,0,0,0,0,0,5083769,0,0,0,0,0,53390575,0,0,0,0,0,0,0,115496474,685984649.8,0.168365974
5,2013,108.56,182.901893,Albania,17.00821918,658043194,0,0,0,142657352,2082451,0,0,206414,569082,0,0,492176,33393951,0,0,0,541930,4555071,0,940982,30358846,0,0,18124768,0,23367582,0,0,0,77805998,0,0,0,0,0,0,146060549,336417349,673940480.1,0.499179614
6,2014,98.97,164.3753612,Albania,20.50684932,0,0,0,0,117073710,5106364,0,0,682152,331408,0,0,629602,37360303,0,0,0,1041526,592730,0,7664161,19569848,0,0,16832464,0,41032689,0,0,0,73245355,0,0,0,0,0,0,0,198982238,740790450.2,0.268607996
7,2015,52.32,126.5737353,Albania,20.16164384,91792249,0,0,0,93832342,710412,0,0,33446,614942,0,0,795794,12826600,0,0,0,961656,248467,0,0,17091316,0,0,17472273,0,19989999,0,0,0,38298084,0,27276955,0,0,0,0,0,135609532,385022880.1,0.352211619
8,2003,28.85,60.70570998,Azerbaijan,323.7547945,1816098560,1444,0,0,14399,28599812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186276712.8,0,0,0,0,12900000,0,0,0,0,0,0,199176712.8,3409218925,0.058422975
9,2004,38.26,81.70468166,Azerbaijan,315.4262295,2264435010,0,0,0,48714,54933514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67923742.38,0,166969870.8,0,0,0,399197013.9,12200000,0,0,0,0,0,0,646290627.1,4404895752,0.146720981
10,2005,54.57,100,Azerbaijan,438.7726027,2218812045,127,0,0,500,69609781,0,0,0,1.00E+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9919362.617,0,84663557.69,0,0,0,0,16500000,0,0,0,0,0,0,112082920.3,8739494639,0.012824874
11,2006,65.16,156.1961728,Azerbaijan,645.5205479,3848498475,0,0,0,3100,76309381,0,0,0,2.00E+06,0,0,20200000,0,0,0,0,12500000,0,0,0,0,0,0,1133022732,0,275027995.5,0,0,0,198185666.3,14200000,0,0,0,0,0,0,1655136394,15352673399,0.107807699
12,2007,72.44,183.3122475,Azerbaijan,846.8330466,3214193710,0,0,0,103973,59273738,0,0,0,6.80E+07,0,0,2.50E+07,0,0,0,0,81934731.93,0,0,0,0,0,0,2378652215,0,269813519.8,0,0,0,0,0,0,0,0,6600000,0,0,2830000466,22390773852,0.126391365
13,2008,96.94,169.0130834,Azerbaijan,873.918724,44170910610,112802,0,0,2792118,91046419,0,0,0,3500000,0,0,178600000,0,0,0,0,0,0,0,0,0,0,0,2924535810,0,532521315.5,0,0,0,182962728.4,2.00E+05,0,0,0,0,0,0,3822319854,30921953603,0.123611849
14,2009,61.74,136.5303027,Azerbaijan,1010.013263,11989737737,1739,0,0,76100,4208960,0,0,0,1.00E+06,0,0,94100000,0,0,0,0,250062266.5,0,0,0,90784557.91,0,622665.0062,1084909838,0,124533.0012,0,0,0,151113200.5,11100000,0,0,0,29763387.3,0,0,1713580448,22760749883,0.075286643
15,2010,79.61,202.3197645,Azerbaijan,1038.68337,18489553774,795,0,0,1619544,8646120,0,0,0,2.00E+06,0,0,318500000,0,0,0,0,88044831.88,0,0,0,67745952.68,0,0,1259622167,0,373599.0037,0,0,0,161773972.6,10300000,0,0,0,83810709.83,0,0,1992171233,30181697826,0.066005937
16,2011,111.26,229.7191412,Azerbaijan,987.0465205,22911044605,20539,0,0,11767340,9032067,0,0,0,2.00E+07,0,0,4.30E+08,19329500000,0,0,0,249461820.9,0,0,84500000,161541091.6,0,0,1959916424,0,341901.9881,0,0,0,162845608.1,9504000,0,0,0,48605799.67,0,0,22456216646,40083860493,0.560230885
17,2012,111.63,191.0341399,Azerbaijan,925.7040027,20232597801,921,0,0,8044283,34488864,0,0,0,2.00E+06,0,0,438483000,16695800000,0,0,0,271682476.8,0,0,0,59154894.4,0,0,1200516996,0,1014.2096,0,0,0,100277112,10044000,0,0,0,28177115.2,0,0,18806136609,37717763305,0.498601586
18,2013,108.56,182.901893,Azerbaijan,874.4229699,20244052787,83,0,0,16982693,10470779,0,0,0,2360000,0,0,0,16708731676,0,0,0,471510516,0,0,0,138432122,0,0,1888040217,0,3314213,0,0,0,154371383,10300000,0,0,0,61312939,0,0,19438373066,34648485529,0.561016528
19,2014,98.97,164.3753612,Azerbaijan,850.5188986,18404936620,4,0,0,7151302,6008987,0,0,0,1.70E+07,0,0,0,15926282711,0,0,0,426568077.5,0,0,0,179372769,0,0,1613700000,0,637429.8827,0,0,0,145649209.6,11400000,0,0,0,62213156.55,0,0,18382823354,30724187219,0.598317645
20,2015,52.32,126.5737353,Azerbaijan,852.1692,8866158652,68,0,0,6430934,2653688,0,0,0,1959848,0,0,0,8295801539,0,0,0,223671956,0,0,0,133063444,0,0,720300166,0,53225378,0,0,0,109181177,0,0,0,0,52522544,0,0,9589726052,16273704779,0.589277376
21,2006,65.16,156.1961728,CÌÄå«te d'Ivoire,62,1310329295,1759624100,0,0,19,18794855,0,0,0,0,0,0,75021630,0,0,0,0,0,0,0,11485540,0,0,0,78639570,0,0,0,0,0,0,0,0,0,0,0,0,0,165146740,1474570800,0.111996481
22,2007,72.44,183.3122475,CÌÄå«te d'Ivoire,52,1035424094,1887629670,0,0,117658,27976029,0,0,0,4670880,0,0,203231600,0,0,0,0,0,0,0,28417570,0,0,0,203229510,0,0,0,0,0,0,0,0,0,0,0,0,0,439549560,1374911200,0.319693054
23,2008,96.94,169.0130834,CÌÄå«te d'Ivoire,59.16502732,1524512776,2668989384,0,0,11270684,36031537,0,0,0,0,0,0,517623817,0,0,0,0,0,0,294980,60336799,684893,0,0,1678212,0,769579,0,0,0,1177096,0,0,0,0,0,0,0,582565376,2093442078,0.278281106
24,2009,61.74,136.5303027,CÌÄå«te d'Ivoire,57.81726027,1141077248,1622938713,0,0,20173526,22146452,0,0,0,0,0,0,211755382,0,0,0,0,0,0,752168,43112885,33164,0,0,4999413,0,1030930,0,0,0,6201893,0,0,0,0,0,0,0,267885835,1302917742,0.205604565
25,2010,79.61,202.3197645,CÌÄå«te d'Ivoire,43.83287671,1091339773,1689709519,0,0,17821141,32764690,0,0,0,0,0,0,152014488,0,0,0,0,0,0,1066242,68659491,52060,0,0,6619511,0,1473684,0,0,0,5609221,0,0,0,0,0,0,0,235494697,1273680390,0.184893085
26,2011,111.26,229.7191412,CÌÄå«te d'Ivoire,39.5890411,1306010039,1749372331,0,0,6801593,25875278,0,0,0,0,0,0,274206032,94530051,0,0,0,0,0,932832,29554660,8480,0,0,6009326,0,1298196,0,0,0,14460414,0,0,0,0,0,0,0,420999991,1607707000,0.26186363
27,2012,111.63,191.0341399,CÌÄå«te d'Ivoire,37.91530055,1255554933,2752775651,0,0,14227529,24187681,0,0,0,57273120,0,22471335,381031900,88438831,0,0,0,286356,0,1709247,5400716,28827,653527,0,9055953,0,1937922,0,0,0,20726684,956328,0,0,0,1191402,0,0,591162148,1544857025,0.382664634
28,2013,108.56,182.901893,CÌÄå«te d'Ivoire,37,959539397,2928052011,0,0,20155298,27991071,0,0,0,25628110,397256,5620897,352816460,238897025,0,0,0,0,0,54028346,5497874,10180,661585,0,12781405,0,3823213,0,0,0,17102714,0,0,0,0,1135380,0,0,718400445,1466102800,0.490006871
29,2014,98.97,164.3753612,CÌÄå«te d'Ivoire,36,652054361,2612549707,0,0,30362894,22052899,0,0,0,0,4648667,10379800,196073954,222581750,0,0,26308,0,0,0,2752268,0,445782,0,11437558,0,4474,0,0,0,21182896,14602251,0,0,0,3150409,16630,0,487302747,1300465800,0.374714004
30,2015,52.32,126.5737353,CÌÄå«te d'Ivoire,33,545273591,1517006644,0,0,20176231,16906808,0,0,0,29924208,17439834,35798501,131867267,165431069,0,0,561524,0,0,0,34019024,0,2171773,0,14637415,0,0,0,0,0,23795044,0,0,0,0,2149416,0,0,457795075,630194400,0.726434692
31,2001,24.46,56.26818468,Cameroon,76.64657534,807459073,293666799,0,0,0,355769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44042320,0,353110,0,110681380,0,0,0,0,0,15474550,0,0,0,0,0,0,0,170551360,684292960,0.249237344
32,2002,24.99,54.31961263,Cameroon,69.81917808,828044401,213849458,0,0,20781,277545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27603240,0,358390,0,151401360,0,0,0,0,0,15936260,0,0,0,0,0,0,0,195299250,636845160,0.306666773
33,2003,28.85,60.70570998,Cameroon,67,1003161869,171380463,0,0,9233,795549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11156800,0,10320,0,96803610,0,0,0,0,0,18240480,0,0,0,0,0,0,0,126211210,705526750,0.178889333
34,2004,38.26,81.70468166,Cameroon,65.98907104,1018674440,366459171,0,0,0,87257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65977460,0,474090,0,95099790,0,0,0,0,0,3071800,0,0,0,0,0,0,0,164623140,921530778.2,0.178640957
35,2005,54.57,100,Cameroon,82.31506849,1247908273,801734149,0,0,0,819039,0,0,0,2.00E+06,0,0,0,0,0,0,0,0,0,0,40391700,0,1450970,0,143923550,0,0,0,0,0,15717320,0,0,0,0,0,0,0,203483540,1639555650,0.124108956
36,2006,65.16,156.1961728,Cameroon,86.40273973,1781718541,925417069,0,56259428,24,819782,0,0,0,3500000,0,0,1070956500,0,0,0,0,0,0,45722800,0,0,0,0,211117500,0,0,0,0,0,12665590,0,0,0,0,0,0,0,1343962390,2054950920,0.654011917
37,2007,72.44,183.3122475,Cameroon,82.82739726,1840823150,1751,0,0,0,343167,0,0,0,0,0,0,1065579620,0,0,0,0,0,0,45975410,0,0,6604040,0,277383820,0,945910,0,0,0,43122270,0,0,0,0,0,0,0,1439611070,2190006080,0.657354828
38,2008,96.94,169.0130834,Cameroon,81.32513661,13309,1281,0,0,32276,237774,0,0,0,5.00E+06,0,0,1538506250,0,0,0,0,0,0,92433250,0,0,4562000,0,299004960,0,0,0,0,0,25801020,0,0,0,0,0,0,0,1965307480,2877535441,0.682982893
39,2009,61.74,136.5303027,Cameroon,76.90410959,4666,11424,0,0,271,55210,0,0,0,12493847,0,12849613,717562893,0,0,0,0,0,0,4509224,0,38300,323303,0,442482030,0,33329692,0,0,0,-20417779,0,0,0,1149750,0,0,0,1204320873,1733041800,0.694917383
40,2010,79.61,202.3197645,Cameroon,65,1415657634,1231769209,0,0,0,62426,0,0,0,3047121,0,9801678,862577546,0,0,0,0,0,0,1719097,0,24491,148789,0,192695727,0,30890175,0,0,0,-74162636,0,0,0,1828233,0,0,0,1028570221,1888747250,0.544578011
41,2011,111.26,229.7191412,Cameroon,61.66027397,9136,94185,0,0,4436,306940,0,0,0,250504,0,9691061,1172570446,0,0,197923,0,0,0,904639,0,31277,175800,0,227961429,0,35821495,0,0,0,-1294294,0,0,0,1596227,0,0,0,1447906507,2504017560,0.578233368
42,2012,111.63,191.0341399,Cameroon,63,1834091386,1300904099,0,0,3551,477099,0,0,0,4.00E+06,0,12405678,1093599556,47528736,0,277242,0,0,0,9938904,89835105,0,379068,0,340224932,0,825548,15396318,0,0,-38466151,0,0,0,1708573,0,536185,0,1578189694,2566931850,0.61481558
43,2013,108.56,182.901893,Cameroon,62.75616438,2203963516,999398517,0,0,0,1434021,0,0,0,3500000,0,16937552,1090409231,0,0,190434,0,0,0,0,54900283,0,1047502,0,393797461,0,63057916,16561430,0,0,26518287,0,0,0,1858317,0,0,0,1668778413,2486675360,0.671088169
44,2014,98.97,164.3753612,Cameroon,75,2469166401,1429928278,0,0,747,2862226,0,0,0,0,0,26004092,0,1045641585,0,180766,0,78323110,0,0,8441165,0,3285700,0,368646862,0,43151869,0,0,0,907141,0,5289867,0,2039671,0,0,0,1581911828,2709303750,0.583881312
45,2007,72.44,183.3122475,Chad,144.2027397,0,0,0,0,0,0,0,0,0,3054060,146969,0,281945525,0,0,0,0,0,0,0,0,0,0,0,887870635,0,0,0,0,0,0,0,0,0,686773,0,0,0,1173703962,3812806959,0.307831992
46,2008,96.94,169.0130834,Chad,127.1639344,0,0,0,0,0,0,0,0,0,6319062,329812,0,556003641,0,0,0,0,0,0,0,0,0,0,0,1126832960,0,0,0,0,0,0,0,0,167209304,815249,0,0,0,1857510028,4499454207,0.412830077
47,2009,61.74,136.5303027,Chad,119.4712329,0,0,0,0,0,0,0,0,0,391,325743,0,162711939,0,0,0,0,0,0,0,0,0,0,0,426181178,0,0,0,0,0,0,0,0,15364160,2190006,0,0,0,606773417,2692296181,0.225373947
48,2010,79.61,202.3197645,Chad,122.5205479,0,0,0,0,0,0,0,0,0,0,450000,0,363994790.6,0,0,0,0,0,0,6683000,0,0,0,0,914422979.9,0,0,0,0,0,1181000,0,0,33910000,308000,0,0,0,1320949771,3560159199,0.371036714
49,2011,111.26,229.7191412,Chad,114.9643836,0,0,0,0,0,0,0,0,0,1.00E+08,450000,0,495770274.1,0,0,0,0,0,0,6235000,0,0,0,0,1480286091,0,0,0,0,0,844000,0,0,44021000,1000,0,0,0,2127607365,4668692122,0.455718071
50,2012,111.63,191.0341399,Chad,104.4836066,0,0,0,0,0,0,0,0,0,128224000,1113000,1471000,475588000,0,0,0,0,0,0,6004000,0,0,0,0,1305591000,0,0,0,0,0,955000,0,0,39009000,278000,0,0,0,1958233000,4257179327,0.459983677
51,2013,108.56,182.901893,Chad,105,0,0,0,0,0,0,0,0,0,1646,2145997,12998044,384769874,0,0,0,0,0,0,4697626,0,0,0,0,1150655819,0,0,0,0,0,999071,0,0,28832465,51668,0,0,0,1585152210,4160562000,0.380994733
52,2007,72.44,183.3122475,Democratic Republic of Congo,22.15616438,0,0,0,0,0,0,0,0,0,0,0,13330000,9228000,0,0,0,0,116647000,0,20989000,11519000,0,703000,0,152630000,0,0,0,0,41653000,29682000,0,0,0,0,22884000,0,0,419265000,585822279.9,0.715686334
53,2008,96.94,169.0130834,Democratic Republic of Congo,19.95765027,0,0,0,0,0,0,0,0,0,0,0,9261000,16611000,0,0,0,1053000,155552000,0,60858000,13379000,0,3280000,0,200380552.4,0,0,0,0,0,0,0,0,7044000,0,5.00E+06,0,0,472418552.4,706163535.3,0.668993128
54,2009,61.74,136.5303027,Democratic Republic of Congo,22,0,0,0,0,0,0,0,0,0,0,0,25004000,25463000,0,0,0,540000,33688000,0,28617000,22032000,0,3786000,0,93068014.21,0,0,0,0,0,0,0,0,3430000,0,22032000,0,0,257660014.2,495772200,0.519714527
55,2010,79.61,202.3197645,Democratic Republic of Congo,21,0,0,0,0,0,0,0,0,0,6499975,0,70810021,79123317,0,0,0,0,121165458,38771089,45230736,0,15751451,16558753,0,197840032,0,0,0,0,0,51802913,0,0,3987430,0,164421824,0,0,811962999,610210650,1.330627381
56,2011,111.26,229.7191412,Democratic Republic of Congo,20.16164384,0,0,0,0,0,0,0,0,0,2.00E+06,60264302,129749933,104905535,0,0,0,0,171297589,25057518,67252135,0,21930978,16972196,0,405512525,0,43222156,0,0,94012088.02,91376516,0,0,0,0,56797681,0,0,1290351152,818762340.2,1.575977654
57,2012,111.63,191.0341399,Democratic Republic of Congo,20,0,0,0,0,0,0,0,0,2427750,5.00E+05,66617420,122966293,147805445,8838220,0,0,0,249920333,60744307,75815672,0,5023256,21404288,0,113171555,0,52987565,0,0,5287950,93880587,615733,0,61073078,123850830,320499585,0,0,1533429867,814899000,1.881742237
58,2013,108.56,182.901893,Democratic Republic of Congo,20,0,0,0,0,0,0,0,0,86851076,39836750,0,590226806,0,230000,0,0,0,0,76334309,967191,0,12411143,17877373,0,45487624,7145972,43231242,0,4200000,821786,173499137,16295586,0,76817367,132315229,10094622,0,0,1334643213,792488000,1.684117883
59,2014,98.97,164.3753612,Democratic Republic of Congo,20,0,0,0,0,0,0,0,0,103370372,23030074,0,571175662,0,200695,0,0,0,0,54605112,0,0,16444927,18782326,0,264397836,13094915,61150625,0,0,379089,250540769,19175936,0,90886646,164897942,15757359,0,0,1667890285,722481000,2.308559374
60,2004,38.26,81.70468166,Ghana,7,0,0,0,0,19131955,113861,0,0,0,0,0,0,0,0,0,0,0,0,0,3457003,0,0,0,0,550157,0,0,0,0,0,22782715,0,0,0,0,231658,0,0,27021533,97754300,0.27642296
61,2005,54.57,100,Ghana,6,10539206,627695562,0,0,55464666,75633,0,0,0,0,0,0,0,0,0,0,0,0,0,7541160,0,0,0,0,11233921,0,4398,0,0,0,25597029,0,0,0,0,278135,0,0,44654643,119508300,0.373653068
62,2006,65.16,156.1961728,Ghana,6,0,684932487,0,0,21714930,127077,0,0,0,0,0,0,0,0,0,0,0,0,0,7820165,0,0,0,0,22642382,0,7635,0,0,0,34990309,0,0,0,0,760070,0,0,66220561,142700400,0.464053086
63,2007,72.44,183.3122475,Ghana,6,1,790643012,0,0,47411227,32195,0,0,0,0,0,0,0,0,0,0,0,0,0,3892366,0,0,0,0,15730556,0,1641,0,0,0,41249253,0,0,0,0,893748,0,0,61767564,158643600,0.389347972
64,2008,96.94,169.0130834,Ghana,6,83,1083977150,0,0,66798947,127877,0,0,0,0,0,0,0,0,0,0,0,0,0,1349646,0,0,0,0,30702456,0,10514,0,0,0,58343268,0,0,0,0,787598,0,0,91193482,212298600,0.429552913
65,2009,61.74,136.5303027,Ghana,6,0,100125023,0,0,58596516,329862,0,0,0,0,0,0,0,0,0,0,0,0,0,2359838,0,0,0,0,16667742,0,0,0,0,0,92017330,0,0,0,0,870260,0,0,111915170,135210600,0.827710032
66,2010,79.61,202.3197645,Ghana,7.189041096,0,2780,0,0,91797112,8791435,0,0,0,0,0,0,0,0,0,0,0,0,0,15744203,0,0,107497,0,87876049,0,0,0,0,0,105874221,0,0,0,0,582369,0,0,210184339,208896640,1.006164288
67,2011,111.26,229.7191412,Ghana,76.51232877,2861952915,787744920,0,0,123489617,4847293,0,0,0,0,0,0,0,0,0,0,0,0,0,28766583,0,0,92848,0,326683507,0,0,0,0,0,353252238,0,0,0,0,233903151,0,0,942698327,3107158020,0.303395682
68,2012,111.63,191.0341399,Ghana,78.35519126,3683889033,430691260,0,0,138916072,8201494,0,0,0,0,0,0,0,0,0,0,0,0,0,14084197,0,0,102331,0,396340910,0,0,0,0,0,449938491,0,0,0,0,286220579,0,0,1146686508,3192578350,0.35917255
69,2013,108.56,182.901893,Ghana,97.91232877,3015354824,308723373,0,0,176534323,2385849,0,0,0,0,0,0,0,0,0,0,0,0,0,550571,0,0,133868,0,439391919,0,0,0,0,0,475852456,0,0,0,0,333334035,0,0,1249262849,3879717280,0.321998424
70,2014,98.97,164.3753612,Ghana,105.0191781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10701700,0,0,382580,0,446256153,0,425000,0,0,0,486346333,0,0,0,0,366679905,0,0,1310791671,3793718041,0.345516366
71,2005,54.57,100,Guinea,NA,0,0,0,0,516761761,9187,0,0,16776000,0,0,4409000,0,0,0,0,0,0,0,0,0,0,0,0,29515000,0,0,0,0,0,72966000,0,0,0,0,0,0,0,123666000,NA,NA
72,2006,65.16,156.1961728,Guinea,NA,0,14999,0,0,429860152,1898129,0,0,0,0,6255000,9466000,0,0,0,0,0,0,0,0,0,0,0,0,90065000,0,0,0,0,0,22572000,0,0,0,0,0,181000,0,128539000,NA,NA
73,2007,72.44,183.3122475,Guinea,NA,0,4136,0,0,719609205,13447,0,0,0,0,6661849,13120741,0,0,0,0,0,0,0,0,0,35085,0,0,109970261,0,0,0,0,0,4768155,0,0,20878370,16340685,0,0,0,171775146,NA,NA
